"","zip","sdi_decile"
"1075","04491",4
"1076","04492",6
"1077","04493",5
"1078","04495",5
"1079","04496",5
"1080","04497",6
"1081","04530",5
"1082","04535",4
"1083","04537",1
"1084","04538",4
"1085","04539",2
"1086","04541",NA
"1087","04543",5
"1088","04544",1
"1089","04547",4
"1090","04548",1
"1091","04551",4
"1092","04553",3
"1093","04554",2
"1094","04555",2
"1095","04556",3
"1096","04558",1
"1097","04562",2
"1098","04563",2
"1099","04564",1
"1100","04568",4
"1101","04570",NA
"1102","04571",1
"1103","04572",7
"1104","04573",1
"1105","04574",4
"1106","04575",1
"1107","04576",2
"1108","04578",6
"1109","04579",2
"1110","04605",5
"1111","04606",6
"1112","04607",4
"1113","04609",5
"1114","04611",3
"1115","04612",2
"1116","04613",1
"1117","04614",3
"1118","04616",1
"1119","04617",2
"1120","04619",7
"1121","04622",5
"1122","04623",6
"1123","04624",3
"1124","04625",3
"1125","04626",4
"1126","04627",5
"1127","04628",1
"1128","04629",NA
"1129","04630",4
"1130","04631",6
"1131","04634",6
"1132","04635",5
"1133","04637",3
"1134","04640",3
"1135","04642",1
"1136","04643",3
"1137","04644",NA
"1138","04645",3
"1139","04646",5
"1140","04648",7
"1141","04649",7
"1142","04650",1
"1143","04652",7
"1144","04653",4
"1145","04654",8
"1146","04655",4
"1147","04657",2
"1148","04658",6
"1149","04660",1
"1150","04662",1
"1151","04664",4
"1152","04666",6
"1153","04667",8
"1154","04668",9
"1155","04669",1
"1156","04671",2
"1157","04673",3
"1158","04674",2
"1159","04675",2
"1160","04676",4
"1161","04677",1
"1162","04679",3
"1163","04680",5
"1164","04681",6
"1165","04683",1
"1166","04684",2
"1167","04685",4
"1168","04686",2
"1169","04691",2
"1170","04693",5
"1171","04694",6
"1172","04730",8
"1173","04732",5
"1174","04733",1
"1175","04734",3
"1176","04735",5
"1177","04736",7
"1178","04739",5
"1179","04740",5
"1180","04741",NA
"1181","04742",3
"1182","04743",4
"1183","04745",3
"1184","04746",8
"1185","04747",4
"1186","04750",8
"1187","04756",5
"1188","04757",4
"1189","04758",6
"1190","04760",6
"1191","04761",4
"1192","04762",5
"1193","04763",6
"1194","04764",1
"1195","04765",8
"1196","04766",6
"1197","04768",4
"1198","04769",6
"1199","04772",6
"1200","04773",5
"1201","04774",7
"1202","04776",6
"1203","04777",8
"1204","04779",3
"1205","04780",6
"1206","04781",6
"1207","04783",2
"1208","04785",8
"1209","04786",6
"1210","04787",5
"1211","04841",7
"1212","04843",3
"1213","04847",1
"1214","04848",1
"1215","04849",1
"1216","04851",4
"1217","04852",2
"1218","04853",1
"1219","04854",1
"1220","04855",1
"1221","04856",2
"1222","04858",1
"1223","04859",2
"1224","04860",1
"1225","04861",4
"1226","04862",2
"1227","04863",3
"1228","04864",4
"1229","04901",7
"1230","04910",3
"1231","04911",8
"1232","04912",6
"1233","04915",6
"1234","04917",2
"1235","04918",3
"1236","04920",6
"1237","04921",6
"1238","04922",8
"1239","04923",7
"1240","04924",7
"1241","04925",5
"1242","04926",2
"1243","04927",5
"1244","04928",2
"1245","04929",8
"1246","04930",7
"1247","04932",2
"1248","04933",1
"1249","04936",5
"1250","04937",9
"1251","04938",5
"1252","04939",4
"1253","04940",NA
"1254","04941",3
"1255","04942",5
"1256","04943",6
"1257","04944",1
"1258","04945",3
"1259","04947",2
"1260","04949",5
"1261","04950",6
"1262","04951",6
"1263","04952",3
"1264","04953",4
"1265","04955",3
"1266","04956",3
"1267","04957",5
"1268","04958",4
"1269","04961",4
"1270","04962",7
"1271","04963",3
"1272","04964",1
"1273","04965",5
"1274","04966",6
"1275","04967",8
"1276","04969",3
"1277","04970",2
"1278","04971",4
"1279","04973",4
"1280","04974",5
"1281","04975",NA
"1282","04976",8
"1283","04978",1
"1284","04979",3
"1285","04981",2
"1286","04982",6
"1287","04983",5
