"model","time","sex","outcome","term","coefficient"
"base","30yr","male","stroke","age_dm",-0.2152953
"base","30yr","female","total_cvd","age_smoking",-0.1607862
"base","30yr","male","total_cvd","age_smoking",-0.1566406
"base","30yr","female","ascvd","age_smoking",-0.1530907
"base","30yr","male","ascvd","age_smoking",-0.1548811
"base","30yr","female","heart_failure","age_smoking",-0.1982991
"base","30yr","male","heart_failure","age_smoking",-0.2043019
"base","30yr","female","chd","age_smoking",-0.1513626
"base","30yr","male","chd","age_smoking",-0.1749197
"base","30yr","female","stroke","age_smoking",-0.1702836
"base","30yr","male","stroke","age_smoking",-0.1339295
"base","30yr","female","total_cvd","age_bmi_gte_30",0
"base","30yr","male","total_cvd","age_bmi_gte_30",0
"base","30yr","female","ascvd","age_bmi_gte_30",0
"base","30yr","male","ascvd","age_bmi_gte_30",0
"base","30yr","female","heart_failure","age_bmi_gte_30",-0.0035619
"base","30yr","male","heart_failure","age_bmi_gte_30",-0.0182831
"base","30yr","female","chd","age_bmi_gte_30",0
"base","30yr","male","chd","age_bmi_gte_30",0
"base","30yr","female","stroke","age_bmi_gte_30",0
"base","30yr","male","stroke","age_bmi_gte_30",0
"base","30yr","female","total_cvd","age_egfr_lt_60",-0.1450788
"base","30yr","male","total_cvd","age_egfr_lt_60",-0.1166776
"base","30yr","female","ascvd","age_egfr_lt_60",-0.1299149
"base","30yr","male","ascvd","age_egfr_lt_60",-0.0712547
"base","30yr","female","heart_failure","age_egfr_lt_60",-0.1564215
"base","30yr","male","heart_failure","age_egfr_lt_60",-0.1342618
"base","30yr","female","chd","age_egfr_lt_60",-0.1130454
"base","30yr","male","chd","age_egfr_lt_60",-0.0241467
"base","30yr","female","stroke","age_egfr_lt_60",-0.1320992
"base","30yr","male","stroke","age_egfr_lt_60",-0.1225081
"base","30yr","female","total_cvd","constant",-1.318827
"base","30yr","male","total_cvd","constant",-1.148204
"base","30yr","female","ascvd","constant",-1.974074
"base","30yr","male","ascvd","constant",-1.736444
"base","30yr","female","heart_failure","constant",-2.205379
"base","30yr","male","heart_failure","constant",-1.95751
"base","30yr","female","chd","constant",-2.733866
"base","30yr","male","chd","constant",-2.376762
"base","30yr","female","stroke","constant",-2.62078
"base","30yr","male","stroke","constant",-2.458022
"hba1c","10yr","female","total_cvd","age",0.7858178
"hba1c","10yr","male","total_cvd","age",0.7699177
"hba1c","10yr","female","ascvd","age",0.7111831
"hba1c","10yr","male","ascvd","age",0.7064146
"hba1c","10yr","female","heart_failure","age",0.8997391
"hba1c","10yr","male","heart_failure","age",0.911787
"hba1c","10yr","female","chd","age",0.7559415
"hba1c","10yr","male","chd","age",0.7223642
"hba1c","10yr","female","stroke","age",0.6854957
"hba1c","10yr","male","stroke","age",0.7244468
"hba1c","10yr","female","total_cvd","non_hdl_c",0.0194438
"hba1c","10yr","male","total_cvd","non_hdl_c",0.0605093
"hba1c","10yr","female","ascvd","non_hdl_c",0.106797
"hba1c","10yr","male","ascvd","non_hdl_c",0.1532267
"hba1c","10yr","female","heart_failure","non_hdl_c",0
"hba1c","10yr","male","heart_failure","non_hdl_c",0
"hba1c","10yr","female","chd","non_hdl_c",0.1663933
"hba1c","10yr","male","chd","non_hdl_c",0.2443591
"hba1c","10yr","female","stroke","non_hdl_c",0.043261
"hba1c","10yr","male","stroke","non_hdl_c",0.0134286
"hba1c","10yr","female","total_cvd","hdl_c",-0.1521964
"hba1c","10yr","male","total_cvd","hdl_c",-0.0888525
"hba1c","10yr","female","ascvd","hdl_c",-0.1425745
"hba1c","10yr","male","ascvd","hdl_c",-0.1082166
"hba1c","10yr","female","heart_failure","hdl_c",0
"hba1c","10yr","male","heart_failure","hdl_c",0
"hba1c","10yr","female","chd","hdl_c",-0.1905004
"hba1c","10yr","male","chd","hdl_c",-0.1755236
"hba1c","10yr","female","stroke","hdl_c",-0.0983793
"hba1c","10yr","male","stroke","hdl_c",-0.0204357
"hba1c","10yr","female","total_cvd","sbp_lt_110",-0.2296681
"hba1c","10yr","male","total_cvd","sbp_lt_110",-0.417713
"hba1c","10yr","female","ascvd","sbp_lt_110",-0.0736824
"hba1c","10yr","male","ascvd","sbp_lt_110",-0.2675288
"hba1c","10yr","female","heart_failure","sbp_lt_110",-0.4422749
"hba1c","10yr","male","heart_failure","sbp_lt_110",-0.6568071
"hba1c","10yr","female","chd","sbp_lt_110",-0.0768509
"hba1c","10yr","male","chd","sbp_lt_110",-0.3025745
"hba1c","10yr","female","stroke","sbp_lt_110",-0.1017197
